"from","to","similVal"
"LFM_5","TLB_Sav_12",0.428179127505756
"LFM_5","TLB_Sav_14",0.360226108096539
"LFM_5","TLB_Sav_20",0.25588044704483
"LFM_5","TLB_Sav_8",0.251208865780589
"LFM_5","TLFS_2",0.48884594254406
"LFM_5","TLP_14",0.346212317655208
"LFM_5","TLP_2",0.257005873680919
"LFM_5","TLQ_1",0.492551799993751
"LFM_5","TLQ_10",0.703007904756029
"LFM_5","TLQ_12",0.225451992580418
"LFM_5","TLQ_3",0.233657739629255
"LFM_7","TLB_27",0.292626771441843
"LFM_7","TLE_5",0.218424054944468
"LO_1","LO_3",0.211155592129068
"LO_1","TLB_13",0.255625688633513
"LO_1","TLB_2",0.208679616910023
"LO_1","TLQ_10",0.267681333090077
"LO_2","LO_3",0.211776658703473
"LO_2","TEEL_5",0.425964346843128
"LO_2","TLB_Sav_16",0.203877413404172
"LO_2","TLB_Sav_7",0.220622772740326
"LO_2","TLP_2",0.265864022170436
"LO_3","TEEL_10",0.221787183335086
"LO_3","TEEL_5",0.249563609793273
"LO_3","TLQ_10",0.269172003910358
"LO_4","TLTM_4",0.236952477828787
"SKD_1","SKD_2",0.355223481062986
"SKD_1","TL_IRT_10",0.388491322669969
"SKD_1","TLB_18",0.205623980323653
"SKD_1","TLB_5",0.347282866621733
"SKD_1","TLB_Sav_6",0.380120648931241
"SKD_1","TLB_Sav_7",0.268580822321277
"SKD_1","TLQ_11",0.297365971815551
"SKD_2","TLB_5",0.210852114834073
"SKD_2","TLB_Sav_6",0.256078228918311
"SKD_3","TEEL_5",0.204301765727958
"TEEL_1","TEEL_5",0.254240976858167
"TEEL_10","TLB_5",0.333845346596272
"TEEL_10","TLE_8",0.306514768188136
"TEEL_2","TLB_16",0.216960851269121
"TEEL_2","TLB_3",0.200947071400266
"TEEL_2","TLFS_3",0.250223019118277
"TEEL_2","TLFS_4",0.328804183851119
"TEEL_3","TEEL_6",0.358585169968613
"TEEL_3","TLB_Sav_26",0.433776975320241
"TEEL_3","TLB_Sav_27",0.227864521343926
"TEEL_3","TLFS_4",0.265868025508773
"TEEL_4","TLB_20",0.249848754913381
"TEEL_4","TLE_1",0.205761588422035
"TEEL_5","TL_IRT_11",0.25379275481868
"TEEL_6","TEEL_9",0.36601559762274
"TEEL_6","TLB_5",0.203932640675933
"TEEL_7","TLB_13",0.215448365806905
"TEEL_7","TLE_7",0.324132123366666
"TEEL_7","TLE_8",0.219036222796691
"TEEL_9","TL_IRT_10",0.295317518214445
"TEEL_9","TL_IRT_11",0.218783586628802
"TEEL_9","TLB_35",0.24410807802777
"TL_IRT_1","TL_IRT_3",0.42616086629975
"TL_IRT_1","TL_IRT_4",0.470895523366058
"TL_IRT_10","TL_IRT_11",0.230502585458779
"TL_IRT_10","TLB_35",0.257183566572754
"TL_IRT_10","TLE_1",0.252347083753708
"TL_IRT_10","TLE_4",0.268028232979688
"TL_IRT_11","TLB_7",0.215571445795627
"TL_IRT_12","TLP_13",0.217259032649117
"TL_IRT_13","TL_IRT_7",0.207476382630018
"TL_IRT_13","TL_IRT_8",0.276104407430328
"TL_IRT_13","TLB_7",0.20867755889143
"TL_IRT_2","TL_IRT_3",0.404577913068483
"TL_IRT_2","TLB_Sav_1",0.355916299969549
"TL_IRT_2","TLB_Sav_3",0.226285999710151
"TL_IRT_3","TLB_5",0.202926584817691
"TL_IRT_3","TLB_8",0.202381221846556
"TL_IRT_5","TL_IRT_7",0.394042174826209
"TL_IRT_5","TLB_3",0.214347591898037
"TL_IRT_5","TLP_14",0.207775173327637
"TL_IRT_6","TL_IRT_8",0.299752632560604
"TL_IRT_7","TL_IRT_8",0.40188984975204
"TL_IRT_7","TLB_2",0.242306929716057
"TL_IRT_7","TLB_3",0.260664686517519
"TL_IRT_7","TLB_6",0.248933672205917
"TL_IRT_7","TLB_7",0.457364764647643
"TL_IRT_7","TLP_14",0.252672073159258
"TL_IRT_7","TLQ_11",0.219517467285558
"TL_IRT_8","TLB_7",0.439307371259351
"TL_IRT_9","TLB_Sav_17",0.226043702057326
"TLB_1","TLB_2",0.266252491621379
"TLB_1","TLB_3",0.286424421886421
"TLB_1","TLB_5",0.427858331986026
"TLB_1","TLB_Sav_3",0.256768805488846
"TLB_1","TLE_4",0.216621856070877
"TLB_10","TLB_12",0.308198859324412
"TLB_10","TLB_20",0.205544099191536
"TLB_10","TLB_25",0.316149209081885
"TLB_10","TLB_28",0.245017215636071
"TLB_10","TLB_30",0.293925923672003
"TLB_10","TLB_Sav_16",0.321658036048035
"TLB_10","TLB_Sav_19",0.218051925420214
"TLB_10","TLB_Sav_23",0.2138856014646
"TLB_10","TLB_Sav_26",0.339907961777552
"TLB_10","TLB_Sav_27",0.309678695394301
"TLB_10","TLB_Sav_28",0.22467998789803
"TLB_10","TLP_13",0.4273807757147
"TLB_10","TLP_4",0.312851191323934
"TLB_10","TLP_6",0.217965589688714
"TLB_10","TLP_7",0.209781224668471
"TLB_10","TLP_9",0.305320694880438
"TLB_11","TLB_16",0.21808095107075
"TLB_11","TLB_25",0.358913269575645
"TLB_12","TLP_13",0.241272831360999
"TLB_12","TLP_4",0.234821510545271
"TLB_13","TLB_22",0.229559423131687
"TLB_13","TLB_Sav_20",0.267596569832136
"TLB_13","TLQ_10",0.363349081237834
"TLB_14","TLB_26",0.204649383915455
"TLB_14","TLIE_3",0.315914927627962
"TLB_16","TLB_2",0.414185189750553
"TLB_16","TLB_4",0.339958320386627
"TLB_16","TLB_Sav_1",0.248098034504875
"TLB_16","TLFS_4",0.444410949229828
"TLB_16","TLFS_5",0.203701377189037
"TLB_18","TLB_5",0.204916605543503
"TLB_18","TLB_Sav_7",0.399767378316961
"TLB_18","TLP_9",0.336876482581564
"TLB_18","TLQ_6",0.484412852705033
"TLB_18","TLQ_8",0.538318241600635
"TLB_19","TLB_Sav_20",0.236887572726417
"TLB_19","TLB_Sav_21",0.404372062972454
"TLB_2","TLB_3",0.520888185319279
"TLB_2","TLB_4",0.486465926886951
"TLB_2","TLB_5",0.413630847828675
"TLB_2","TLB_7",0.217127893884857
"TLB_2","TLB_8",0.393371973342267
"TLB_2","TLB_Sav_3",0.272746281927238
"TLB_2","TLE_4",0.370421734869388
"TLB_2","TLE_8",0.309328436965625
"TLB_2","TLP_14",0.297911123863382
"TLB_2","TLQ_11",0.438663390534004
"TLB_20","TLB_Sav_21",0.298826726076263
"TLB_20","TLE_7",0.252866213202361
"TLB_20","TLE_8",0.232878292320773
"TLB_20","TLP_6",0.215672654520623
"TLB_20","TLP_9",0.202933863111793
"TLB_20","TLQ_4",0.286576912932746
"TLB_21","TLB_29",0.203949202856683
"TLB_21","TLB_Sav_19",0.21944906996257
"TLB_22","TLB_24",0.239029207609255
"TLB_22","TLB_9",0.292721472179551
"TLB_22","TLB_Sav_28",0.281414554470221
"TLB_22","TLFS_2",0.233017170970274
"TLB_23","TLB_24",0.216038366911156
"TLB_23","TLB_Sav_10",0.225209146827668
"TLB_23","TLB_Sav_19",0.230006752395328
"TLB_23","TLTM_1",0.223281009257727
"TLB_24","TLB_Sav_10",0.212024588693264
"TLB_24","TLB_Sav_19",0.2654317027321
"TLB_24","TLB_Sav_8",0.232742770320719
"TLB_24","TLIE_5",0.227003728026968
"TLB_24","TLP_9",0.267804006211445
"TLB_24","TLTM_1",0.254835695321455
"TLB_25","TLB_28",0.336693866049168
"TLB_25","TLB_30",0.403902457695835
